set,idx,cer,animescore,likability,utmos
UTMOS-GRPO,38,0.125,-1.7549992799758911,4.468784809112549,4.035480499267578
UTMOS-GRPO,39,0.0,-1.760697841644287,4.3628716468811035,3.733212947845459
UTMOS-GRPO,40,0.03571428571428571,-0.8495057821273804,4.520880699157715,4.059901237487793
UTMOS-GRPO,41,0.20833333333333334,-1.1004117727279663,4.203566074371338,4.110462188720703
UTMOS-GRPO,42,0.03571428571428571,-1.1814788579940796,4.47569465637207,3.942359447479248
UTMOS-GRPO,43,0.029411764705882353,-1.6581708192825317,4.472407341003418,3.7311782836914062
UTMOS-GRPO,44,0.02857142857142857,-1.6735135316848755,4.466521263122559,4.305917739868164
UTMOS-GRPO,45,0.06060606060606061,0.288980096578598,4.553123474121094,3.775975227355957
UTMOS-GRPO,46,0.4642857142857143,-1.4854356050491333,4.294824123382568,4.203041076660156
UTMOS-GRPO,47,0.0,-1.9369186162948608,4.570878982543945,4.1299214363098145
UTMOS-GRPO,48,0.017543859649122806,-0.7179389595985413,4.44025993347168,3.6266326904296875
UTMOS-GRPO,49,0.017543859649122806,0.9479853510856628,4.3164963722229,3.718097686767578
Likab-GRPO,0,0.09090909090909091,0.34619075059890747,3.7771058082580566,1.93180513381958
Likab-GRPO,1,0.2727272727272727,0.20107290148735046,3.9927310943603516,1.4273383617401123
Likab-GRPO,2,0.19230769230769232,2.363696813583374,3.93780517578125,1.5984923839569092
Likab-GRPO,3,0.19230769230769232,-0.09945584088563919,3.850907802581787,1.3246047496795654
Likab-GRPO,4,0.0,-1.5179386138916016,4.553806781768799,3.921222686767578
Likab-GRPO,5,0.041666666666666664,-1.2162225246429443,4.500162124633789,4.046073913574219
Likab-GRPO,6,0.0,-1.4416645765304565,4.3793511390686035,3.4553308486938477
Likab-GRPO,7,0.0,-0.4326917827129364,4.589207172393799,3.98901104927063
Likab-GRPO,8,0.04,-0.7360195517539978,4.493536949157715,4.002809524536133
Likab-GRPO,9,0.17391304347826086,-1.0508307218551636,4.512993335723877,3.7040653228759766
Likab-GRPO,10,0.08,-1.8233964443206787,4.434667587280273,3.0831305980682373
Likab-GRPO,11,0.12,-1.67482328414917,4.405831336975098,4.05750846862793
Likab-GRPO,12,0.22580645161290322,-0.2003997266292572,4.045528411865234,1.845182180404663
Likab-GRPO,13,0.44,3.1576499938964844,4.335244178771973,1.6661722660064697
Likab-GRPO,14,0.12,3.02858567237854,4.353761672973633,3.0076701641082764
Likab-GRPO,15,0.2727272727272727,1.054005742073059,4.242770195007324,1.5997406244277954
Likab-GRPO,16,0.2916666666666667,-0.39217162132263184,4.436517715454102,3.832693576812744
Likab-GRPO,17,0.09523809523809523,2.782593250274658,4.1587042808532715,2.1810896396636963
Likab-GRPO,18,0.13793103448275862,-0.23891425132751465,4.115650177001953,1.3534859418869019
Likab-GRPO,19,0.043478260869565216,-1.0233818292617798,4.442885398864746,4.03519868850708
Likab-GRPO,20,0.23809523809523808,0.9596471190452576,4.292412757873535,3.7104055881500244
Likab-GRPO,21,0.2857142857142857,-0.7902594208717346,4.494302749633789,3.9091930389404297
Likab-GRPO,22,0.041666666666666664,-1.4728833436965942,4.519863128662109,3.198551654815674
Likab-GRPO,23,0.043478260869565216,-0.9371498823165894,4.378500461578369,2.961608648300171
Likab-GRPO,24,0.03571428571428571,-0.3777824342250824,4.461544036865234,3.201244592666626
Likab-GRPO,25,0.0,-0.6674504280090332,4.30643892288208,3.2586894035339355
Likab-GRPO,26,0.037037037037037035,-1.1039559841156006,4.505844593048096,4.274910926818848
Likab-GRPO,27,0.1111111111111111,-1.8539972305297852,4.431109428405762,3.454775333404541
Likab-GRPO,28,0.0,-1.5561113357543945,4.525608062744141,3.7598533630371094
Likab-GRPO,29,0.0,-1.8196815252304077,4.529820919036865,3.8396668434143066
Likab-GRPO,30,0.22727272727272727,0.40450000762939453,3.990704298019409,1.4762550592422485
Likab-GRPO,31,0.14285714285714285,2.906064748764038,4.432010173797607,2.5520520210266113
Likab-GRPO,32,0.0,-2.2753429412841797,4.511594772338867,3.6530990600585938
Likab-GRPO,33,0.13333333333333333,-1.5362188816070557,4.549740314483643,2.9525883197784424
Likab-GRPO,34,0.1,-1.4619896411895752,4.505875587463379,3.201643228530884
Likab-GRPO,35,0.23076923076923078,-1.3049700260162354,4.492210865020752,3.457763671875
Likab-GRPO,36,0.3870967741935484,3.6001393795013428,4.164089202880859,1.9037184715270996
Likab-GRPO,37,0.27586206896551724,2.0639617443084717,4.3164825439453125,1.8211292028427124
Likab-GRPO,38,0.1875,-0.6753482222557068,4.435264587402344,4.238272190093994
Likab-GRPO,39,0.1,-1.3789637088775635,4.539821147918701,3.317821741104126
Likab-GRPO,40,0.03571428571428571,-1.0411350727081299,4.529466152191162,4.207770824432373
Likab-GRPO,41,0.125,-1.106823444366455,4.359175682067871,3.5104570388793945
Likab-GRPO,42,0.07142857142857142,-1.0476350784301758,4.37637996673584,3.2914986610412598
Likab-GRPO,43,0.029411764705882353,-2.2440006732940674,4.515254020690918,4.100356101989746
Likab-GRPO,44,0.05714285714285714,-1.6733107566833496,4.391870498657227,3.9764280319213867
Likab-GRPO,45,0.0,-0.10497414320707321,4.561521530151367,3.918936014175415
Likab-GRPO,46,0.6071428571428571,-1.0333000421524048,4.455478668212891,3.576310634613037
Likab-GRPO,47,0.0,-1.8079410791397095,4.549307823181152,4.050534725189209
Likab-GRPO,48,0.0,-0.7911317944526672,4.418445587158203,3.6399009227752686
Likab-GRPO,49,0.017543859649122806,0.9031314253807068,4.457305908203125,3.9479894638061523
